Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
1/20/2026,AXSM,AXSM,S,EDGX,326
1/21/2026,AXSM,AXSM,S,BATS,343
1/21/2026,AXSM,AXSM,S,C2,5
1/21/2026,AXSM,AXSM,S,CBOE,648
1/21/2026,AXSM,AXSM,S,EDGX,312
1/22/2026,AXSM,AXSM,S,BATS,72
1/22/2026,AXSM,AXSM,S,C2,6
1/22/2026,AXSM,AXSM,S,CBOE,211
1/22/2026,AXSM,AXSM,S,EDGX,100
1/23/2026,AXSM,AXSM,S,BATS,216
1/23/2026,AXSM,AXSM,S,C2,6
1/23/2026,AXSM,AXSM,S,CBOE,27
1/23/2026,AXSM,AXSM,S,EDGX,203
1/26/2026,AXSM,AXSM,S,BATS,14
1/26/2026,AXSM,AXSM,S,C2,177
1/26/2026,AXSM,AXSM,S,CBOE,233
1/26/2026,AXSM,AXSM,S,EDGX,303
1/27/2026,AXSM,AXSM,S,BATS,52
1/27/2026,AXSM,AXSM,S,C2,23
